Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,SfC,7/10/2015,22/11/15 -31/12/2015,BARNSTAPLE TOWNCENTRE MANAGEMENT,none,Christmas and New Year celebrations,2000,Revenue
Place,SfC,25/08/2015,3/1/2016,BEACON KNIGHTS AFC,none,for under 15s kit and equipment,600,Revenue
Place,SfC,18/12/2015,31/03/2016,BEAUTY UNSEEN,1159136,South West Live show 2016,250,Revenue
Place,SfC,16/11/2015,31/03/2016,BEEHIVE THE,1162412,for microphones,680,Revenue
Place,SfC,2/2/2015,31/03/2015,BERE FERRERS VILLAGERS GROUP,none,Hall Hearing Aid Loop System,900,Revenue
Place,SfC,13/11/2015,11/15/2016,BERRYNARBOR MANOR HALL TRUST,300763,Energy assessment for new heating system,500,Revenue
Place,SfC,17/08/2015,3/1/2016,BIDEFORD A F C YOUTH,none,Community Youth Football (Joint funding),3000,Revenue
Place,SfC,17/08/2015,3/1/2016,BIDEFORD A F C YOUTH,none,Community Youth Football (Joint funding),1500,Revenue
Place,SfC,6/2/2015,31/03/2015,BIDEFORD AMATEUR BOXING CLUB,none,Solar panels for gym building,3000,Revenue
Place,SfC,11/6/2015,9/1/2015,BISHOPSTEIGNTON COMMUNITY CENTRE,300769,for new lead flashing to stop leaks,500,Revenue
Place,SfC,11/6/2015,8/1/2015,BISHOPSTEIGNTON VILLAGE HALL FND,300769,for roof repairs,500,Revenue
Place,SfC,22/10/2015,30/10/2015,BLACKBOROUGH VILLAGE HALL,300786,Kitchen relocation,1000,Revenue
Place,SfC,12/8/2015,30/10/2015,BLACKDOWN HEALTHY LIVING AND,1154693,External painting of building,400,Revenue
Place,SfC,12/8/2015,31/08/2015,BLACKDOWNS EARLY MUSIC PROJECTS,1156177,Weekend music events,500,Revenue
Place,SfC,28/05/2015,9/1/2015,BLOOM IN ST THOMAS,1095887,for St Thomas Festival,500,Revenue
Place,SfC,4/12/2015,3/1/2016,BLOOM IN ST THOMAS,1095887,for purchase and planting of Lucombe Oak and tree guard,500,Revenue
Place,SfC,28/05/2015,9/1/2015,BLOOM IN ST THOMAS,1095887,for St Thomas Festival,2000,Revenue
Place,SfC,24/11/2015,3/1/2016,BLOOM IN ST THOMAS,1095887,Bloom in St Thomas - Tree & Nature Trail,2040,Revenue
Place,SfC,30/11/2015,3/1/2016,BLOOM IN ST THOMAS,1095887,additional funding,450,Revenue
Place,SfC,26/01/2015,31/03/2015,BOVEY TRACEY AFC,none,Fencing of football ground,2777,Revenue
Place,SfC,20/01/2015,31/03/2015,BRADNICH MUSICAL GARDENS,none,Community Festival,1000,Revenue
Place,SfC,9/3/2015,31/03/2015,BRADNINCH BABY & TODDLER GROUP,none,Play provision for Baby Safe and Clean,60,Revenue
Place,SfC,15/05/2015,31/03/2016,BRADNINCH BABY & TODDLER GROUP,none,Play provision for Baby Safe and Clean,100,Revenue
Place,SfC,21/01/2015,31/03/2015,BRADNINCH WOMENS INSTITUTE,1030182,Re-establishing the WI after 16yrs closure,250,Revenue
Place,SfC,12/8/2015,8/1/2015,BRADNINCH YOUTH FOOTBALL CLUB,none,Installation of lighting and power in club building,600,Revenue
Place,SfC,23/01/2015,31/03/2015,BRADWORTHY ARTS FESTIVAL,none,Schools' project to create an art installation,200,Revenue
Place,SfC,8/10/2015,3/31/2016,BRADWORTHY OTTERS KIDS CLUB,none,"Safeguarding and First Aid training, DBS checks and safety equipment for volunteers",300,Revenue
Place,SfC,18/06/2015,02/15 - 04/15,BRATTON FLEMING YOUTH GROUP,none,Equipment for The Kabin,500,Revenue
Place,SfC,25/08/2015,3/1/2016,BRENT SINGERS,none,for advertising and production of tickets,400,Revenue
Place,SfC,20/01/2015,31/03/2015,BROADCLYST VICTORY HALL,300784,Start up fund for no consumables,250,Revenue
Place,SfC,19/01/2015,31/03/2015,BROADHEMPSTON VILLAGE HALL &,300784,New village hall build,1000,Revenue
Place,SfC,17/03/2015,31/03/2015,BUCKFASTLEIGH TRUST,1069416,"Restoration, repairs and Access",5000,Revenue
Place,SfC,26/06/2015,12/1/2015,BUCKLAND & MILBER COMMUNITY ASSC,268849,for new front door,1000,Revenue
Place,SfC,19/01/2015,31/03/2015,BUCKLAND & MILBER SPORTS CLUB,1123479,New football equipment,750,Revenue
Place,SfC,23/01/2015,31/03/2015,BUCKLAND & MILBER SPORTS CLUB,1123479,Youth based project over the Easter period,2512,Revenue
Place,SfC,20/10/2015,3/1/2016,BUCKLAND & MILBER SPORTS CLUB,1123479,for equipment for sports club,1100,Revenue
Place,SfC,23/01/2015,31/03/2015,BUCKLAND & MILBER YOUTH GROUP,none,Set up costs for youth group,300,Revenue
Place,SfC,13/11/2015,3/31/2016,BUDE & HOLSWORTHY MACULAR GROUP,none,Tea urn and pot for use at group meetings,120,Revenue
Place,SfC,11/2/2015,31/03/2015,BUDLEIGH IN BUSINESS FORUM,none,Advertising and marketing costs,750,Revenue
Place,SfC,19/01/2015,31/03/2015,BUDLEIGH JAZZ FESTIVAL,1144353,Advertising event,500,Revenue
Place,SfC,10/6/2015,1/10/2015,BUDLEIGH SALTERTON DECORATIVE &,1160995,for educational creative arts project with local schools,500,Revenue
Place,SfC,11/2/2015,31/03/2015,BUDLEIGH SALTERTON FESTIVAL LTD,5277571,Hire of venues and equipment,500,Revenue
Place,SfC,28/07/2015,30/08/2015,Budliegh Community Gardens,none,for wild flower meadow,209,Revenue
Place,SfC,10/6/2015,6/1/2015,BULL MEADOW PLAYGROUND PROJECT,none,fir St Leonards Village Fete,300,Revenue
Place,SfC,4/9/2015,11/1/2015,BULL MEADOW PLAYGROUND PROJECT,none,for renovations to playground,470,Revenue
Place,SfC,14/10/2015,1/3/2016,BUTTERLEIGH VILLAGE HALL,270312,Community Field purchase,600,Revenue
Place,SfC,14/10/2015,31/03/2016,C I S C O,none,Free English lessons for migrant workers,600,Revenue
Place,SfC,15/05/2015,31/03/2016,CAB DEVON,279057,YEAR 1 PAYMENT,400000,Revenue
Place,SfC,8/10/2015,2/28/2016,CHAGFORD BOWLING CLUB,none,Club Improvements,800,Revenue
Place,SfC,25/08/2015,12/15 - 03/16,CHAGFORD COMMONERS HLS ASSOC,none,Chagford Cattle grids,1365,Revenue
Place,SfC,9/6/2015,07/15 - 03/16,CHAGFORD EDU & LEISURE TRUST,1070244,Video editing/filming Project,800,Revenue
Place,SfC,21/07/2015,10/15 - 03/16,CHAGFORD EDU & LEISURE TRUST,1070244,National theatre Connections 500,500,Revenue
Place,SfC,1/12/2015,3/1/2016,CHAGFORD JUBILEE HALL,1158870,Development Plan,2000,Revenue
Place,SfC,20/11/2015,3/1/2016,CHUDLEIGH KNIGHTON VILLAGE HALL,300791,Improvements to the building,2000,Revenue
Place,SfC,20/02/2015,31/03/2015,CHULMLEIGH RECREATIONAL ASSOC,1134758,Saturday Morning Activity Club,1000,Revenue
Place,SfC,20/01/2015,31/03/2015,CHURCHES HOUSING ACTION TEAM,1049478,Fuel poverty and Energy Efficiency Advice,300,Revenue
Place,SfC,10/6/2015,4/1/2015,CITY RAIDERS YOUTH FOOBALL CLUB,none,for equipment & new match kit,400,Revenue
Place,SfC,1/9/2015,10/1/2015,CLYST ST GEORGE & EB PARISH HALL,none,for renewal of tarmac for basketball area,400,Revenue
Place,SfC,7/7/2015,31/03/2016,COLYTON & COLYFORD MEMORY CAFE,none,for Colyton & Colyford Memory Café to purchase a cd player,250,Revenue
Place,SfC,13/03/2015,31/03/2015,COMBE MARTIN MUSEUM,1040191,Exmoor Coast Festival/Wave Banners,1200,Revenue
Place,SfC,28/05/2015,5/03/15-07/03/15,COMBE MARTIN MUSEUM,1040191,Repaint Museum ground floor,1250,Revenue
Place,SfC,26/02/2015,31/03/2015,COMMUNITY HELPERS IN CRANBROOK,none,Cranbrook in Bloom,250,Revenue
Place,SfC,20/01/2015,31/03/2015,COMMUNITY RESOURCES (DEVON) CIC,5659455,Tools and equipment for community projects,400,Revenue
Place,SfC,30/10/2015,22/10/2015,Community Theatre for all,none,for purchase of material/fabrics for costumes (Godspell),750,Revenue
Place,SfC,28/05/2015,27/06/2015,COPPLESTONE PARENT TEACHER ASSCN,1050606,Outdoor jazz concert,400,Revenue
Place,SfC,28/08/2015,3/1/2016,COUNTESS WEAR VILLAGE HALL,none,for Ducklings Parent & Toddler Group,500,Revenue
Place,SfC,28/07/2015,12/1/2015,CRAIG SCOTT DRUMS-KOOL,none,for revamp of website & marketing materials,500,Revenue
Place,SfC,4/3/2015,31/03/2015,CREDITON AREA HIST & MUSEUM SOC,1002713,Town trail leaflet,375,Revenue
Place,SfC,5/2/2015,31/03/2015,CREDITON ARTS CENTRE,1155513,Music Market - Community Champions 2015,800,Revenue
Place,SfC,18/02/2015,31/03/2015,CREDITON ARTS CENTRE,1155513,Operation Belinda play for Crediton Festival,1500,Revenue
Place,SfC,14/10/2015,6/1/2016,CREDITON ARTS CENTRE,1155513,Crediton Food and Drinks Festival 2016,500,Revenue
Place,SfC,17/12/2015,3/1/2016,CREDITON ARTS CENTRE,1155513,Shakespeare King Henry,600,Revenue
Place,SfC,15/05/2015,2/7/2015,CREDITON ARTS CENTRE,1155513,Primary school project and Operation Belinda production,750,Revenue
Place,SfC,20/11/2015,1/1/2016,CREDITON ARTS CENTRE,1155513,Shakespeare in the Square 2016,300,Revenue
Place,SfC,2/3/2015,31/03/2015,CREDITON YOUTH FOOTBALL CLUB,none,New equipment - goals and line marker,400,Revenue
Place,SfC,8/9/2015,7/8/2015,CULLOMPTON COMMUNITY ASSOCIATION,XR1874,Safety barrier / height restrictor,500,Revenue
Place,SfC,18/12/2015,31/12/2015,CULLOMPTON CRICKET & RECREA CLUB,none,Changing of washroom renovations,400,Revenue
Place,SfC,30/06/2015,31/01/2016,CULLOMPTON DISABILITY ACTION GRP,none,Supporting people with disabilities,400,Revenue
Place,SfC,18/12/2015,3/1/2016,CULLOMPTON FAMILY CENTRE,1057544,For keeping the centre open,400,Revenue
Place,SfC,24/07/2015,30/09/2015,CULLOMPTON FARMERS MARKET,none,Purchase of 2 gazebos,300,Revenue
Place,SfC,18/02/2015,31/03/2015,CULM VALLEY RECYCLING SERVS LTD,4708026,Covering the compost shed,300,Revenue
Place,SfC,18/12/2015,3/1/2016,CULMSTOCK COMMUNITY PROJECTS,none,Community Garden,400,Revenue
Place,SfC,24/07/2015,12/1/2015,D A I S I,1071762,First World War commemorative project: Doing Our Bit,350,Revenue
Place,SfC,8/7/2015,01/09/15-15/12/15,D A I S I,1071762,for Gallipoli Project in Barnstaple,750,Revenue
Place,SfC,23/12/2015,3/1/2016,D A I S I,1071762,for WW1 projects in Devon,500,Revenue
Place,SfC,4/9/2015,10/1/2015,DANCE IN DEVON LTD,8773881,for International Older Peoples Day,200,Revenue
Place,SfC,10/11/2015,31/03/2016,DANU BLUE NATURAL HEALING CIC,8773881,for equipment,750,Revenue
Place,SfC,28/08/2015,1/1/2016,DARTMOOR SOCIETY,none,for audit of railways & tramways on Dartmoor,250,Revenue
Place,SfC,2/2/2015,31/03/2015,DARTMOUTH & DIST INDOOR POOL TST,1134583,New signage,100,Revenue
Place,SfC,1/10/2015,3/1/2016,DARTMOUTH & DIST INDOOR POOL TST,1134583,for new pool,5000,Revenue
Place,SfC,16/10/2015,3/1/2016,DARTMOUTH & DIST INDOOR POOL TST,1134583,for mosaics for indoor pool,350,Revenue
Place,SfC,2/2/2015,31/03/2015,DARTMOUTH & DISTRICT FOOD BANK,none,Community cooking club,500,Revenue
Place,SfC,28/10/2015,3/1/2016,DARTMOUTH A F C,none,for purchase of hedge trimmer,105.4,Revenue
Place,SfC,17/07/2015,3/1/2016,DARTMOUTH CARING,none,for dementia support in the community,1000,Revenue
Place,SfC,17/12/2015,3/1/2016,DARTMOUTH GREEN PARTNERSHIPS,none,for spring planting on vergres into Dartmouth,500,Revenue
Place,SfC,10/6/2015,7/1/2015,DARTMOUTH GREEN PARTNERSHIPS,none,"for planting of fruit trees, veg plots and green spaces",1500,Revenue
Place,SfC,16/10/2015,3/1/2016,DARTMOUTH TOURIST INFO CENTRE,5199339,for refurbishment of Tourist Centre,500,Revenue
Place,SfC,17/07/2015,12/1/2015,DAWLISH & TEIGNMOUTH AREA,none,for purchase of equipment,1000,Revenue
Place,SfC,17/07/2015,12/1/2015,DAWLISH & TEIGNMOUTH AREA,none,for purchase of equipment,1000,Revenue
Place,SfC,28/07/2015,3/1/2016,DAWLISH ACTION FOR YOUTH,1071198,"to purchase equipment, games etc",1000,Revenue
Place,SfC,10/6/2015,7/1/2015,DAWLISH ARTS FESTIVAL LTD,8819748,for arts and crafts event,250,Revenue
Place,SfC,10/6/2015,10/1/2015,DAWLISH TRIATHLON GROUP,none,to assist with running costs,500,Revenue
Place,SfC,6/8/2015,12/1/2015,DAWLISH WARREN TOURISM,none,for a defibrillator,250,Revenue
Place,SfC,25/02/2015,31/03/2015,DEAN PRIOR SOCIAL COMMITTEE,none,Wheelchair ramp,1000,Revenue
Place,SfC,22/01/2015,31/03/2015,DEMENTIA FRIENDLY PARISHES / YLM,none,Dementia awareness sessions,1000,Revenue
Place,SfC,14/12/2015,3/1/2016,DEMENTIA FRIENDLY PARISHES / YLM,none,for awareness training,1000,Revenue
Place,SfC,10/6/2015,3/1/2016,DENBURY & TORBRYAN ALLOTMENTS,none,to obtain lease for allotment site,600,Revenue
Place,SfC,25/06/2015,3/1/2016,DEVON & EXETER JIGSAW PUZZLE LIB,278874,for general running costs,500,Revenue
Place,SfC,28/10/2015,12/1/2015,DEVON AMBULANCE RESPONSE TEAMS,none,Supply of 4x4 response vehicle,1000,Revenue
Place,SfC,28/10/2015,3/31/2016,DEVON AMBULANCE RESPONSE TEAMS,none,Vehicle for Chulmleigh First Responders,4000,Revenue
Place,SfC,21/04/2015,31/03/2016,DEVON COMMUNITIES TOGETHER,1074047,GRANT PAYMENT,72000,Revenue
Place,SfC,6/8/2015,05/15 - 03/16,DEVON FREEWHEELERS 1138889,1138889,Office printer/copier/scanner,350,Revenue
Place,SfC,30/11/2015,3/1/2016,DEVON PERFORMING ARTS FESTIVAL,1033478,"grant for venue hire, publicity materials & public liability insurance",300,Revenue
Place,SfC,2/3/2015,31/03/2015,DEVON SENIOR VOICE,none,Dementia Awareness Day,400,Revenue
Place,SfC,15/09/2015,31/03/2016,DEVON SENIOR VOICE,none,ACCESS SOURCES,5000,Revenue
Place,SfC,14/01/2015,31/03/2015,DEVON UNITED WOMEN,none,INSPIRING WOMEN,500,Revenue
Place,SfC,28/07/2015,31/03/2016,DEVON WILDLIFE TRUST,213224,Bystock Nature Reserve,2000,Revenue
Place,SfC,14/12/2015,3/1/2016,DEVONSHIRE & DORSET REGMNT FORUM,none,for assistance to veterans on low income to travel to Battlefield tour,500,Revenue
Place,SfC,6/8/2015,3/1/2016,DIABETES UK WESTBANK PRACTICE PP,none,"for education of patients in type 2 diabetes, purchase of a projector",350,Revenue
Place,SfC,24/06/2015,30/06/2015,DIPTFORD PARISH HALL,300814,for purchase of a grit bin,104.39,Revenue
Place,SfC,25/02/2015,31/03/2015,DODDISCOMBSLEIGH COMM PRE-SCHOOL,1078776,Purchase of foldaway play cube,417,Revenue
Place,SfC,22/12/2015,3/1/2016,DORSET DEVON & CORNWALL,none,for Alden's Road Shed Project,700,Revenue
Place,SfC,4/9/2015,3/1/2016,DUNCHIDEOCK VILLAGE HALL,301096,for toilet refurbishment,1000,Revenue
Place,SfC,26/10/2015,3/1/2016,DURYARD ESTATE MANAGEMENT COMMTT,none,for repairs to Grafton Steps,2500,Revenue
Place,SfC,30/09/2015,3/1/2016,E D P DRUG & ALCOHOL SERVICES,297370,for training of new skills to young people in recovery,500,Revenue
Place,SfC,10/6/2015,3/1/2016,EAGLES ACROBATICS,none,for hall hire,800,Revenue
Place,SfC,10/6/2015,10/1/2015,EAGLES ACROBATICS,none,to assist with travel costs for local children,250,Revenue
Place,SfC,27/01/2015,31/03/2015,EAST DEVON CITZENS ADVICE BUREAU,1115963,Upgrading computers to windows 8,500,Revenue
Place,SfC,4/3/2015,31/03/2015,EAST DEVON VOLUNTEER SUPPORT,1134611,for Forget me not Reminiscence Service,500,Revenue
Place,SfC,12/11/2015,31/03/2016,EAST DEVON VOLUNTEER SUPPORT,1134611,for continuation of Service,375,Revenue
Place,SfC,10/11/2015,31/03/2016,EAST DEVON VOLUNTEER SUPPORT,1134611,for equipment,225,Revenue
Place,SfC,12/11/2015,31/03/2016,EAST DEVON VOLUNTEER SUPPORT,1134611,for continuation of Service,375,Revenue
Place,SfC,10/11/2015,31/03/2016,EAST DEVON VOLUNTEER SUPPORT,1134611,for equipment,225,Revenue
Place,SfC,29/07/2015,3/1/2016,EAST TEIGNBRIDGE C T A,1060175,for transportation to appointments for clients,500,Revenue
Place,SfC,6/8/2015,3/1/2016,EAST TEIGNBRIDGE C T A,1060175,"for ring & ride service for elderly, frail from door to door",500,Revenue
Place,SfC,21/08/2015,8/30/2015,ENGAGE4LIFE LTD,7339501,Charity fun Day,300,Revenue
Place,SfC,27/02/2015,31/03/2015,EXETER & DISTRICT SCOUT & GUIDE,272863,Advertising/costumes etc,500,Revenue
Place,SfC,25/06/2015,3/1/2016,EXETER CIVIC SOCIETY,none,for refurbishment of General Gordon Lamppost,3000,Revenue
Place,SfC,26/11/2015,31/03/2016,EXETER COMMUNITY INITIATIVES,1026229,GRANT FUNDING,5000,Revenue
Place,SfC,11/2/2015,31/03/2015,EXETER COMMUNITY TRANSPORT ASSOC,1129560,Assist with purchase of replacement mobility Scooters,500,Revenue
Place,SfC,17/08/2015,3/1/2016,EXETER FOUNDATION THE,1143121,19240 shrouds of the Somme,4000,Revenue
Place,SfC,27/02/2015,31/03/2015,EXETER PARKS WATCH,none,New carousel for Arena Park,2500,Revenue
Place,SfC,10/2/2015,31/03/2015,EXETER PRIDE,1161062,VOLUNTEER RECRUIT,1089,Revenue
Place,SfC,10/6/2015,6/1/2015,EXETER RESPECT CIC,8725612,for two day diversity family festival,1400,Revenue
Place,SfC,2/6/2015,06/06/15-07/06/15,EXETER RESPECT CIC,8725612,EXETER RESPECT,750,Revenue
Place,SfC,6/3/2015,31/03/2015,EXETER SCRAPSTORE,none,to assist with increasing scrapstore capacity,500,Revenue
Place,SfC,26/02/2015,31/03/2015,EXETER ST JAMES FORUM,none,Allotment improvements,566,Revenue
Place,SfC,10/6/2015,3/1/2015,EXETER ST JAMES FORUM,none,"for hire of premises, liability insurance",600,Revenue
Place,SfC,25/06/2015,1/1/2015,EXETER SYMPHONY ORCHESTRA,none,for 'Outreach 2015' project working with local schools,500,Revenue
Place,SfC,18/02/2015,31/03/2015,EXETER Y M C A (COMM PROJECTS),803226,Equipment for the Centre,4000,Revenue
Place,SfC,30/09/2015,3/1/2016,EXETER Y M C A (COMM PROJECTS),250197,for Rockbeare Youth Club,500,Revenue
Place,SfC,17/07/2015,3/1/2015,EXETER Y M C A (COMM PROJECTS),250197,Westside Centre for usage as community hub,4000,Revenue
Place,SfC,25/06/2015,8/1/2015,EXMINSTER SUMMER PLAYSCHEME,none,"for hire of premises, insurance & resources",600,Revenue
Place,SfC,9/3/2015,31/03/2015,EXMOUTH AMATEUR RADIO CLUB,none,to develop Robotics design and build project,500,Revenue
Place,SfC,26/02/2015,31/03/2015,EXMOUTH CARNIVAL,none,High viz vests for judges,132,Revenue
Place,SfC,13/08/2015,11/1/2015,EXMOUTH CARNIVAL,none,for 20 ft. banner,366.67,Revenue
Place,SfC,25/06/2015,3/1/2016,EXMOUTH GATEWAY CLUB,1145306,for respite breaks,1500,Revenue
Place,SfC,25/06/2015,3/1/2016,EXMOUTH SPARTANS FOOTBALL CLUB,none,for start up costs of new team,600,Revenue
Place,SfC,10/6/2015,11/1/2015,EXMOUTH WAR MEMORIAL WRTH STAND,none,to replace wreath stand,750,Revenue
Place,SfC,28/07/2015,9/1/2015,EXTON VILLAGE EVENTS,none,for picnic table and base,630,Revenue
Place,SfC,4/12/2015,3/1/2016,FILLEIGH VILLAGE HALL,1081659,Single room extension to village hall,1000,Revenue
Place,SfC,9/12/2015,11/1/2015,FIRST BUDLEIGH SALTERTON BROWNIE,none,training activity,500,Revenue
Place,SfC,20/10/2015,3/1/2016,FLAVEL CENTRE TRUST THE,3901677,for roof maintenance,500,Revenue
Place,SfC,26/01/2015,31/03/2015,FOOD IN COMMUNITY,none,Rental of old Music Room at Foxhole to sort food etc,1000,Revenue
Place,SfC,2/2/2015,31/03/2015,FOOD IN COMMUNITY,none,Transportation costs,1000,Revenue
Place,SfC,9/6/2015,8/1/2015,FRIENDS OF ASHBURTON LIBRARY,none,to create a sustainable library service,1000,Revenue
Place,SfC,30/11/2015,1/1/2016,FRIENDS OF BOWHILL PTFA,none,Community notice board,500,Revenue
Place,SfC,12/11/2015,3/1/2016,FRIENDS OF DODDISCOMBSLEIGH SCHL,1104584,for new outdoor play equipment,2000,Revenue
Place,SfC,30/09/2015,3/1/2016,FRIENDS OF EXETER STARLITES,none,for new performance mats,300,Revenue
Place,SfC,17/07/2015,20/08/2015,FRIENDS OF HEAVITREE HEALTH CENT,1037303,for replacement bench outside health centre,500,Revenue
Place,SfC,7/7/2015,10/1/2015,FRIENDS OF HIGHER CEMETERY,none,for restoration & cleaning of theatre fire memorial in cemetery,2000,Revenue
Place,SfC,17/07/2015,3/1/2016,FRIENDS OF IVY LANE,none,for set up costs for new community association,500,Revenue
Place,SfC,28/08/2015,3/1/2016,FRIENDS OF IVYBRIDGE LIBRARY,none,for furniture and equipment,3000,Revenue
Place,SfC,22/01/2015,31/03/2015,FRIENDS OF KINGSKERSWELL LIBRARY,none,"Library equipment, moveable shelves etc",174,Revenue
Place,SfC,30/09/2015,11/1/2015,FRIENDS OF SOUTHERNHAY HOUSE,1068189,for computer equipment,455,Revenue
Place,SfC,25/06/2015,3/1/2016,FRIENDS OF ST THOMAS LIBRARY,none,for gazebo and mobile signage,1000,Revenue
Place,SfC,25/06/2015,7/1/2015,FRIENDS OF WESTCLIFF,none,for playground equipment,1000,Revenue
Place,SfC,14/08/2015,8/1/2015,FRIENDS OF WESTCLIFF,none,for additional funding of playground equipment,300,Revenue
Place,SfC,26/01/2015,31/03/2015,GEORGEHAM COMMUNITY LUNCHES,none,Hall hire charges and purchase of hygiene and first aid equipment,250,Revenue
Place,SfC,3/6/2015,3/1/2016,GERMANSWEEK VILLAGE HALL,300843,New kitchen fire door,750,Revenue
Place,SfC,14/07/2015,12/1/2015,GET CHANGED THEATRE COMPANY,1102436,Get Changed in Wonderland,500,Revenue
Place,SfC,13/11/2015,2/1/2016,GOODLEIGH VILLAGE HALL,1043971,Replacement tables and storage trolley,900,Revenue
Place,SfC,4/3/2015,31/03/2015,GROWING TOGETHER COMMUNITY,none,for senior moments gardening club,1000,Revenue
Place,SfC,18/08/2015,3/12/2016,GULWORTHY PARISH HALL CTTEE,225764,Underfloor heating,1000,Revenue
Place,SfC,8/10/2015,31/08/15-31/03/16,HALBERTON COMMUNITY ASSOCIATION,none,Various community events,600,Revenue
Place,SfC,29/05/2015,30/06/2015,HALBERTON HISTORY GROUP,none,Village hall historical plaque,250,Revenue
Place,SfC,30/11/2015,3/1/2016,HAND IN HAND,none,to repair gas boiler,111.6,Revenue
Place,SfC,11/2/2015,31/03/2015,HATHERLEIGH SCHOOL ASSOC PTFA,1059816,Woodland Development Project - pathway,500,Revenue
Place,SfC,10/11/2015,31/03/2016,HEALTH & LOCAL FOOD FOR FAMILIES,1121605,for education workshops,750,Revenue
Place,SfC,13/03/2015,31/03/2015,HEALTHY BABIES UK CIC,7538499,Breastfeeding Practitioner Training,200,Revenue
Place,SfC,24/07/2015,12/1/2015,HEALTHY BABIES UK CIC,7538499,Breastfeeding Practitioner Training,850,Revenue
Place,SfC,28/07/2015,8/1/2015,HEAVITREE COMMUNITY ASSOCIATION,none,music in the park,700,Revenue
Place,SfC,7/10/2015,11/15/2016,HIGH BICKINGTON C P T LTD,8914990,Equipment for High Bickington Community Centre,850,Revenue
Place,SfC,17/07/2015,31/03/2016,HOLNE COMMUNITY SHOP & TEAROOM L,none,"for training, health & safety, food hygiene course",1000,Revenue
Place,SfC,2/2/2015,31/03/2015,HOLNE PLAYPARK,none,Refurbishment of equipment and resurfacing of play park,876.46,Revenue
Place,SfC,6/3/2015,31/03/2015,HOLSWORTHY & RURAL CATS,none,DBS checks for Holsworthy Youth Centre volunteers,140,Revenue
Place,SfC,25/08/2015,3/1/2016,HOLSWORTHY & RURAL CATS,none,for provision of 2 laptops for Holsworthy Youth Centre,495.86,Revenue
Place,SfC,13/11/2015,12/1/2015,HOLSWORTHY COM PROPERTY TRUST LT,1114577,Rebrand Holsworthy Youth Centre exhibition trailer,500,Revenue
Place,SfC,18/06/2015,30/06/15 - 31/12/15,HOLSWORTHY RURAL COMMUNITY,1109623,Computerised bookings system,500,Revenue
Place,SfC,27/10/2015,3/31/2016,HOLSWORTHY RURAL COMMUNITY,1109623,Insurance for community minibuses,1000,Revenue
Place,SfC,22/01/2015,31/03/2015,HOME START EXETER,1116385,Purchase of a gazebo for children's craft events,800,Revenue
Place,SfC,28/08/2015,3/1/2016,HOMELESS IN TEIGNBRIDGE SUPPORT,1097540,"to provide storage racking chairs, tables in new hub",7250,Revenue
Place,SfC,4/3/2015,31/03/2015,HONITON LEARNING COMMUNITY,1151566,to provide 6 wk course for families of school age children,600,Revenue
Place,SfC,6/3/2015,31/03/2015,HONITON MEMORY CAFE,none,for website,1000,Revenue
Place,SfC,10/11/2015,31/03/2016,HONITON NETBALL CLUB,none,for equipment,350,Revenue
Place,SfC,16/03/2015,31/03/2015,HONITON YOUTH CLUB,1164577,Funding sessions,1000,Revenue
Place,SfC,10/11/2015,31/03/2016,HONITON YOUTH CLUB,1164577,for continuation of Youth Services,750,Revenue
Place,SfC,26/01/2015,31/03/2015,HUG CULLOMPTON,none,Cullompton Art House,200,Revenue
Place,SfC,11/2/2015,31/03/2015,IDEFORD VILLAGE HALL,269695,New chairs for the hall,750,Revenue
Place,SfC,19/10/2015,3/31/2016,INSTOW SCHOOL P T F A,none,New equipment and flooring for playground,1500,Revenue
Place,SfC,10/6/2015,7/1/2015,IPPLEPEN CRICKET CLUB,none,for new covers and ground equipment,500,Revenue
Place,SfC,19/05/2015,3/1/2016,ISCA CHURCH,285380,for new activities at the Beacon Centre,1000,Revenue
Place,SfC,17/07/2015,3/1/2015,ISCA WHEELCHAIR DANCERS,none,to subsidize vulnerable disabled people travel for dance lessons,750,Revenue
Place,SfC,4/9/2015,3/1/2016,IVYBRIDGE CARING,1135960,to provide support with a befriending service,382.5,Revenue
Place,SfC,2/3/2015,31/03/2015,IVYBRIDGE MILL ARCHIVES GROUP,none,"to purchase specialise materials, display boards",1100,Revenue
Place,SfC,26/08/2015,3/1/2016,IVYBRIDGE RAIL USERS GROUP,none,for days out leaflet,200,Revenue
Place,SfC,30/11/2015,3/1/2016,IVYBRIDGE THEATRE COMPANY,none,for family show production costs,500,Revenue
Place,SfC,17/12/2015,3/31/2016,JUNCTION ARCHERS,none,Replacement storage shed,300,Revenue
Place,SfC,14/08/2015,3/1/2016,KALEIDOSCOPE SOUTH HAMS LTD,4104081,for kit/equipment/ public liability insurance and transport costs,1377,Revenue
Place,SfC,2/3/2015,31/03/2015,KENNFORD PLAYBOX,1034100,for art materials,73,Revenue
Place,SfC,28/10/2015,3/16/2016,KENTISBEARE PLAYERS,300770,New staging and special effects,400,Revenue
Place,SfC,20/01/2015,31/03/2015,KENTON VICTORY HALL,294168,Replace broken table tennis table,350,Revenue
Place,SfC,10/6/2015,11/1/2015,KINGSBRIDGE & SALCOMBE HOCKEY CL,none,intensive coaching session by England level coaches,1000,Revenue
