Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
People,EAL,1/6/2015,Summer 15,Brayfords Boomerang,Registered charity No 1088982,"Sustainability, special support and inclusion grant, used for short term sustainability to ensure Devon meets its sufficiency duty",1940,Revenue
People,SCC,22/01/2015,31/07/2015,DAWLISH ACTION FOR YOUTH,,Community Capacity building for the Devon Youth offer,10000,Revenue
People,SCC,22/01/2015,28/02/2016,STARCROSS PARISH COUNCIL,,Community Capacity building for the Devon Youth offer,5000,Revenue
People,SCC,25/02/2015,30/09/2015,HONITON YOUTH CLUB,,Community Capacity building for the Devon Youth offer,5000,Revenue
People,SCC,,2015/16,TAW & TORRIDGE VOLUNTARY SERVICE,,Northam Dementia Café,500,Revenue
People,SCC,,2015/16,TAW & TORRIDGE VOLUNTARY SERVICE,,Bideford Dementia Café,500,Revenue
People,SCC,,2015/16,REGEN LINK,,Dementia Café,486,Revenue
Place,EandE,7/1/2015,31/03/2015,The Springboard,1045411,"To support events and activities to promote apprenticeship and employment opportunities within tourism, leisure, and hospitality to young people across Devon.",8000,Revenue
Place,EandE,20/03/2015,31/03/2015,Dorset & Somerset Training Provider Network,6906643,"To support engagement activities for businesses relating to Higher Apprenticeships, which will lead to them attending an event.",3000,Revenue
Place,EandE,6/3/2015,31/03/2015,South West Investment Group Ltd,2463497,Business Finance Network,5925,Revenue
Place,Highways,1/4/2015,31/03/2016,NATIONAL TRUST,205846,South West Coast path maintenance of,32000,Revenue
Place,Highways,25/03/2015,31/03/2015,MELDON VIADUCT COMPANY LTD,3625472,contribution towards Meldon Viaduct,2830,Revenue
Place,Highways,25/08/2015,31/03/2016,MELDON VIADUCT COMPANY LTD,3625472,contribution towards Meldon Viaduct,7600,Revenue
Place,PT&E,17/04/2015,31/03/2016,Co-cars Ltd,IP031432,Barnstaple Car Club,13750,Revenue
Place,PT&E,2/10/2015,31/03/2016,Go North Devon Ltd,IP 27719 R,"Towards planning, production & research of Transport & Travel Guide 2016/17",3000,Revenue
Place,PT&E,23/11/2015,31/03/2016,Ride On - Cycling for All,1149065,To continue the charity work undertaken,7000,Revenue
Place,PT&E,16/03/2015,31/03/2015,Ride On - Cycling for All,1149065,"The Fruit Tree Business, Marketing Plan Consultancy",2000,Revenue
Place,PT&E,24/03/2015,31/03/2015,Ride On - Cycling for All,1149065,Application for funding for continued growth in cycling to support core costs,9000,Revenue
Place,PT&E,30/03/2015,31/03/2015,DEVON BIRD WATCHING & PRESERVATION SOCIETY,228966,Contribution to production of new Devon Bird Atlas,5000,Revenue
Place,PT&E,31/03/2015,31/03/2015,AVETON GIFFORD VILLAGE HALL,N/A,Flood Resiliance Grant - Property Level Protection,5700,Revenue
Place,PT&E,31/03/2015,31/03/2015,MODBURY FLOOD GROUPS (C/O MR M LAWRENCE),N/A,Flood Resiliance Grant - EQUIPMENT,69.89,Revenue
Place,PT&E,11/3/2015,31/03/2015,SEIZE THE MOMENT LTD,5507003,Sustainable Development Fund Grant - Final Claim,2860,Revenue
Place,PT&E,12/3/2015,31/03/2015,WARCOMBE FARM CHRISTIAN TRUST,1055038,Sustainable Development Fund Grant - Final Claim,485.95,Revenue
Place,PT&E,12/3/2015,31/03/2015,SOUTH WEST COAST PATH ASSOC,266754,Sustainable Development Fund Grant - Final Claim,750,Revenue
Place,PT&E,31/03/2015,31/03/2015,NATIONAL TRUST (TROWBRIDGE),205846,GRANT TOWARDS SEASCAP CHARACTER ASSESSMENT PROJECT,10000,Revenue
Place,PT&E,23/07/2015,31/03/2016,FRIENDS OF THE ASSAULT TRNG CNTR,N/A,Sustainable Development Fund Grant - Final Claim,2246.65,Revenue
Place,PT&E,16/03/2015,31/03/2015,ORCHARDS LIVE,1142258,Sustainable Development Fund Grant - Final Claim,1118,Revenue
Place,PT&E,1/3/2015,31/03/2015,BLACKDOWN & E DEVON WOODLAND ASSOCIATION,N/a,Sustainable Development Fund Grant - Final Claim,500,Revenue
Place,SfC,22/11/2011,3/5/2017,Stoke Hill Pre School Group,572,Building extension,2000,Capital
Place,SfC,12/6/2012,3/5/2017,Tavistock Cricket Club,687,Pavilion rebuild,2000,Capital
Place,SfC,21/12/2012,3/5/2017,Dawlish Repertory Company,836,Boiler replacement,3000,Capital
Place,SfC,21/12/2012,3/5/2017,Action For Children,847,Sensory room,3931.96,Capital
Place,SfC,28/07/2014,3/5/2017,Budleigh Community Youth Project,1022,New kitchen,7000,Capital
Place,SfC,28/08/2014,3/5/2017,Cornworthy Village Hall,1040,Purchase of new dishwasher,800,Capital
Place,SfC,3/10/2014,3/5/2017,Honiton Community Church,1044,The Kings Centre - heating system & automatic door,1000,Capital
Place,SfC,3/10/2014,3/5/2017,Old Heathcoat School Community Centre,1050,Floor refurbishment,2500,Capital
Place,SfC,3/10/2014,3/5/2017,St Thomas Allotment Holders Association,1060,Site security at Guys & Hylton Allotments,1140,Capital
Place,SfC,3/10/2014,3/5/2017,St Edmund King and Martyr Church,1068,Stabilization of two stained glass windows,1000,Capital
Place,SfC,27/11/2014,3/5/2017,Dart Gig Club,1088,Store construction,1300,Capital
Place,SfC,3/10/2014,3/5/2017,Sampford Courtenay Village Hall,1046,Village hall refurbishment,2000,Capital
Place,SfC,3/10/2014,3/5/2017,Loddiswell Playing Field & Village Hall,1059,Play equipment - rocker,1300,Capital
Place,SfC,3/10/2014,3/5/2017,Lapford Victory Hall,1069,Kitchen refurbishment,500,Capital
Place,SfC,30/01/2015,3/5/2017,Topsham Museum Society,1112,Information boards & display case,2000,Capital
Place,SfC,30/01/2015,3/5/2017,Gulworthy Parish Hall,1120,Renewal of main stage,4500,Capital
Place,SfC,28/08/2014,3/5/2017,Bishops Nympton Parish Hall,1035,Storage extension,5125,Capital
Place,SfC,3/10/2014,3/5/2017,Alphington Community Association,1062,Replace heating in Alphington Community Centre,3000,Capital
Place,SfC,3/10/2014,3/5/2017,Yeoford Community Association,1065,New community hall and sports facility for Yeoford,1000,Capital
Place,SfC,27/11/2014,3/5/2017,Kennerleigh Community Shop,1096,Community shop computer,500,Capital
Place,SfC,5/3/2015,3/5/2017,Dartmouth & District Indoor Pool Trust,1135,Signage,600,Capital
Place,SfC,27/10/2014,3/5/2017,Blackawton Community Shop,1073,Handrail for pedestrian access to shop,1000,Capital
Place,SfC,30/01/2015,3/5/2017,Welcombe Village Hall,1106,Village hall phase 2 refurbishment,2115.6,Capital
Place,SfC,30/01/2015,3/5/2017,Welcombe Village Hall,1106,Village hall phase 2 refurbishment,885.4,Capital
Place,SfC,28/07/2014,3/5/2017,National Coastwatch Institute Teignmouth,1021,Replacement look out tower for Teignmouth Coastwatch,2500,Capital
Place,SfC,27/10/2014,3/5/2017,National Coastwatch Institute Teignmouth,1084,Replacement look out tower for Teignmouth Coastwatch,2500,Capital
Place,SfC,28/02/2013,3/5/2017,Estuary League Of Friends,934,Community building project,5000,Capital
Place,SfC,28/08/2014,3/5/2017,Bishops Nympton Parish Hall,1035,Storage extension,875,Capital
Place,SfC,3/10/2014,3/5/2017,Action for Children,1066,Whipton Children Centre - sensory room,9999,Capital
Place,SfC,27/10/2014,3/5/2017,St James Parish Church Christow,1079,Restoration of Christow Church paths,500,Capital
Place,SfC,27/11/2014,3/5/2017,Flavel,1090,Flavel auditorium improvements part 2,1000,Capital
Place,SfC,30/01/2015,3/5/2017,Friends of Cullompton Library,1107,Lego Mindstorm equipment,201,Capital
Place,SfC,5/3/2015,3/5/2017,Knappe Cross Community Centre,1125,Kitchen refurbishment,5909,Capital
Place,SfC,5/3/2015,3/5/2017,Thorverton Memorial Hall,1137,Hall renovation,1000,Capital
Place,SfC,5/3/2015,3/5/2017,Chudleigh Community Project,1143,Chudleigh pool filtration,3000,Capital
Place,SfC,5/3/2015,3/5/2017,Penstone Village Glade Association,1147,Penstone Glade lawnmover,300,Capital
Place,SfC,27/07/2011,3/5/2017,Teignmouth Rugby Football Club,515,Roof replacement,5000,Capital
Place,SfC,12/7/2012,3/5/2017,Sandford Scout Hut,708,Contribution towards extension,5000,Capital
Place,SfC,28/01/2013,3/5/2017,Stoke Rivers Village Hall,897,Restoration works,378.26,Capital
Place,SfC,28/01/2013,3/5/2017,Newton Abbot Community Transport Association,912,Contribution towards new vehicle,2500,Capital
Place,SfC,28/02/2013,3/5/2017,Ilfracombe Sea Cadets,928,New showers,2000,Capital
Place,SfC,28/02/2013,3/5/2017,Princetown Football Club,960,Contribution towards sports ground,6897.96,Capital
Place,SfC,28/07/2014,3/5/2017,"Open Door Centre, Exmouth",1023,Renovation of the Open Door Community café toilets & showers,5922.5,Capital
Place,SfC,28/08/2014,3/5/2017,Exwick Parish Hall,1036,Refurbishment of kitchen,2000,Capital
Place,SfC,3/10/2014,3/5/2017,West Hill Village Hall,1042,Contribution towards car park re-surfacing & re-marking,500,Capital
Place,SfC,3/10/2014,3/5/2017,Tavistock Sir Francis Drake Bowling Club,1049,Refurbishment of toilet facilities,2000,Capital
Place,SfC,27/10/2014,3/5/2017,Dartmouth Museum Association,1078,"Project Windy Corner, refurbishment of cloakroom",1000,Capital
Place,SfC,27/10/2014,3/5/2017,Exmouth Pilot Gig Club,1080,Purchase of training gig,2500,Capital
Place,SfC,27/10/2014,3/5/2017,National Coastwatch Institute Teignmouth,1084,Replacement look out tower for Teignmouth Coastwatch,2500,Capital
Place,SfC,27/11/2014,3/5/2017,Dartmouth Green Partnerships,1103,Construction of a Japanese garden,1500,Capital
Place,SfC,30/01/2015,3/5/2017,Friends of Cullompton Library,1107,Lego Mindstorm Equipment,219.56,Capital
Place,SfC,30/01/2015,3/5/2017,Age Concern Teignmouth & Shaldon,1117,Alice Cross Centre floor upgrade,1700,Capital
Place,SfC,30/01/2015,3/5/2017,Kingskerswell Village Hall,1119,Contribution towards roof renewal,2000,Capital
Place,SfC,28/07/2015,3/5/2017,Hele Lane Methodist Church,1183,Commercial dishwasher,1000,Capital
Place,SfC,28/07/2015,3/5/2017,Wembury War Memorial Village Hall,1186,Refurbishment of hall kitchen,2500,Capital
Place,SfC,31/03/2011,3/5/2017,Dartmouth & District Indoor Pool Trust,204,Construction of a new swimming pool at Dartmouth,406891.01,Capital
Place,SfC,28/01/2013,3/5/2017,Fremington Parish Hall Management Committee,885,Purchase of new tables,180,Capital
Place,SfC,3/10/2014,3/5/2017,Stockleigh Pomeroy Parish Hall Committee,1047,Rebuild of the village hall with a new purpose built structure,2000,Capital
Place,SfC,5/3/2015,3/5/2017,Roborough Recreation Hall & Sports Fields Trust,1144,RRH Modernisation Project 2015,2000,Capital
Place,SfC,28/07/2015,3/5/2017,Chudleigh Youth Centre Charitable Trust,1177,Enhancement works at Chudleigh Youth Centre,901.6,Capital
Place,SfC,9/9/2015,3/5/2017,Dartmoor Search & Rescue Team,1190,Contribution towards purchase of rescue centre,2096,Capital
Place,SfC,28/02/2013,3/5/2017,Otterton Parish Hall,1012,Roof repairs,12000,Capital
Place,SfC,9/9/2015,3/5/2017,Pinhoe Community Centre,1187,Contribution towards America Hall & Sunnylands Room refurbishment of toilets,3000,Capital
Place,SfC,9/9/2015,3/5/2017,Sidmouth Town A F C,1189,Contribution towards football pitch spectator railings and hard-standing,2500,Capital
Place,SfC,5/4/2012,3/5/2017,East Worlington Parish Hall,681,Conserve and Improve - heating,4000,Capital
Place,SfC,28/07/2014,3/5/2017,East Worlington Parish Hall,1028,Conserve and Improve - heating,3300,Capital
Place,SfC,27/11/2014,3/5/2017,Highampton Recreation & Hall Committee,1105,New storeroom extension and covered roof area,2000,Capital
Place,SfC,5/3/2015,3/5/2017,"The Garages, Hemyock",1132,Sound proofing,3000,Capital
Place,SfC,5/3/2015,3/5/2017,Cheriton Bishop PTFA,1140,School picnic tables,1500,Capital
Place,SfC,7/4/2015,3/5/2017,ISCA Community Enterprises,1174,Enhancement works at The Beacon Youth at The Beacon Centre,9000,Capital
